មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
អ្នកប្រមាញ់,"[neak prɑmaɲ] [[អ្នក]] [[ប្រមាញ់]] <br>1). hunter "
បងប្អូនប្រទាក់ទងសុក,"[bɑɑŋ pʔoon prɑteak tɔɔŋ sok] [[បងប្អូន]] [[ប្រទាក់ទងសុក]] <br>1). siblings (having the same mother) "
គ្រូបា,"[kruu baa] [[គ្រូ]] [[បា]] <br>1). teacher;<br> highly respected elder who conducts religiously oriented healing ceremonies "
អលជ្ជីនិយម,"[ʔaʔlaccii niʔyum] [[អលជ្ជី]] [[និយម]] <br>1). cynicism "
ព្រះវិញ្ញាណបរិសុទ្ធ,"[preah vɨɲɲien bɑɑreʔsot] [[ព្រះ]] [[វិញ្ញាណ]] [[បរិសុទ្ធ]] <br>1). Holy Ghost
ស្រ៊ូស,"[sruuh] <br>1a). i shuffling sound. <br>1b). adv in a shuffling manner "
បញ្ជាការ,"[bɑɲcie kaa] [[បញ្ជា]] [[ការ]] <br>1). order
ក្បាំងសក់,"[kbaŋ sɑk] [[ក្បាំង]] [[សក់]] <br>1). diadem "
ត្រៀលដោះក្របី,"[triəl dɑh krɑbəy] [[ត្រៀល]] [[ដោះ]] [[ក្របី]] <br>1). See: ត្រៀល (2) "
អប្បិច្ឆភាព,"[ʔappǝccʰaʔ pʰiep] [[អប្បិច្ឆ]] [[ភាព]] <br>1). See: អប្បិច្ឆតា "
ឧបហាស,"[ʔuʔpaʔhaah] <br>1). n laughter
អង្គររាជ,"[ʔɑŋkɔɔ riec] [[អង្គរ]] [[រាជ]] <br>1). royal Cambodian national anthem See: នគររាជ "
រើមខ្សាច់,"[rəəm ksac] [[រើម]] [[ខ្សាច់]] <br>1). herpes characterized by small blisters "
ប្រហែលមើលទៅ,"[prɑhael məəl tɨv~toh] [[ប្រហែល]] [[មើល]] [[ទៅ]] <br>1). perhaps
គ. ក.,"[NOIPA] <br>1). abbreviation of គីឡូក្រាម kilogram See: គ. ក្រ. "
ជ្រុះ,"[cruh] <br>1). v to fall down
សភាវគតិ,"[sɑɑ pʰiev keaʔteʔ] [[ស]] [[ភាវគតិ]] <br>1). instinct "
ថ្នោលទូក,"[tnaol tuuk] [[ថ្នោល]] [[ទូក]] <br>1). boat hook
ការាត់,"[kaarat] <br>1). n carat (unit for measuring gems;<br> = 205 milligrams) See: ការ៉ាត "
ដីកាចំណូល,"[dəykaa cɑmnool] [[ដីកា]] [[ចំណូល]] <br>1). payroll;<br> note of receipt "
ប្រពលវប្បកម្មកសិកម្ម,"[prɑpʊəl voappaʔ kam~kammeaʔ or kammaʔ kaʔseʔkam] [[ប្រពលវប្បកម្ម]] [[កសិកម្ម]] <br>1). intensive agriculture (i.e. scientific agriculture) "
សាកប៉ត្រាក,"[saak - pɑtraak] <br>1). See: សាកត្រាក "
សារវត្ថុ,"[saa~saaraʔ voattʰoʔ] [[សារ]] [[វត្ថុ]] <br>1). See: សារព័ស្តុ "
ប្រទាលផ្លិត,"[prɑtiel plət] [[ប្រទាល]] [[ផ្លិត]] <br>1). kind of iris (Belamcanda chinensis) "
ឆ្អែតឆ្អល់,"[cʔaet cʔɑl] [[ឆ្អែត]] [[ឆ្អល់]] <br>1). to feel bloated
ក្លេត,"<br>1). See: ក្លិត "
វៀរចាកទុច្ចរិត,"[viə caak tuccaʔrit] [[វៀរចាក]] [[ទុច្ចរិត]] <br>1). to cease an evil activity "
នារីរត្ន,"[nierii ------] [[នារី]] [[រត្ន]] <br>1). beautiful woman
ព្រហ្ម័ន,"[preaʔman] <br>1). n Brahma See: ព្រហ្មាន
ឥតត្រើយ,"[ʔet~ʔǝt traəy] [[ឥត]] [[ត្រើយ]] <br>1). with no help;<br> with no limits "
ចលនាប្រមូលទិញស្រូវ,"[caʔlaʔnaa~cɑllənaa prɑmool tɨɲ srǝv] [[ចលនា]] [[ប្រមូល]] [[ទិញ]] [[ស្រូវ]] <br>1). rice purchasing campaign "
រហោគត,"[rɔhao kɔɔ tɑɑ] [[រហោ]] [[គ]] [[ត]] <br>1). traveling to or located in a secluded place "
ងងឹត,"[ŋɔŋɨt] <br>1). adj to be dark;<br> obscure;<br> somber;<br> to be blind
ព្រឹទ្ធិបាល,"[prɨttʰiʔ baah] [[ព្រឹទ្ធិ]] [[បាស]] <br>1). group of Brahman priests attached to the royal elephant stables where they are responsible for conducting rituals involving the elephants <br>2). See: ហ្មថាវ "
និយាយឲ្យសាបឈ្លេម,"[niʔyiey ------ ] [[និយាយ]] [[ឲ្យសាបឈ្លេម]] <br>1). to talk nonsense
បុញ្ញាភិនីហារ,"[boɲɲaapʰiʔniihaa] <br>1). See: បុញ្ញានុភាព "
អាភរណៈអស្សឫទ្ធិ,"[ʔaapʰeaʔreaʔnaʔ ------] [[អាភរណៈ]] [[អស្សឫទ្ឋិ]] <br>1). medal "
ចន្ទគតិ,"[can keaʔteʔ] [[ចន្ទ]] [[គតិ]] <br>1). lunar month
សពេ៌ជ្ញ,"[saarəpəc
កង្កាញ់សំពត់,"[kɑŋkaɲ sɑmpʊət] [[កង្កាញ់]] [[សំពត់]] <br>1). to pleat a skirt "
ស្រោមជីវិត,"[sraom ciivɨt] [[ស្រោម]] [[ជីវិត]] <br>1). See: ស្រោមក្ត "
ហិមរង្សី,"[--i4-- ] [[ហិមរង្សី]] <br>1). the moon See: ហិមរស្មី "
ឈើទាលទឹក,"[cʰəə tiel tɨk] [[ឈើទាល]] [[ទឹក]] <br>1). See: ឈើទាល "
ត្រីមុខ,"[trəy muk] [[ត្រី]] [[មុខ]] <br>1). triad;<br> three faces <br>2). model;<br> leader
សោកប៉ត្រោក,"<br>1). See: សោកត្រោក "
បំពក់មូស,"[bɑmpʊək muuh] [[បំពក់]] [[មូស]] <br>1). to smoke mosquitos away "
គោរពវិន័យ,"[--i4-- ] [[គោរពវិន័យ]] <br>1). to be well-disciplined;<br> to respect the law "
បព្វតា,"[bappeaʔtaa] <br>1). n mountains
តាំងមូលដ្ឋាន,"[taŋ muulattʰaan] [[តាំង]] [[មូលដ្ឋាន]] <br>1). See: ដាក់មូលដ្ឋាន "
លាភន្តរាយ,"[liep~liepʰeaʔ ------] [[លាភ]] [[Iអន្តរាយ]] <br>1). misfortune "
កំណកំណើត,"[kɑmnɑɑ - kɑmnaət] <br>1). n birth
អក្ខរប្បយោគ,"[ʔakkʰaʔraʔ prɑyook] [[អក្ខរៈ]] [[ប្រយោគ]] <br>1). consonant cluster See: អក្សរប្រយោគ "
បរិនាយក,"[paʔreʔnieyʊək] <br>1). n leader
បានជា,"[ពីព្រោះ :: baa nɔɔ cie pii prʊəh ] [[ពីព្រោះ]] [[::]] [[បាន]] [[ជា]] [[ពីព្រោះ]] <br>1). that's why
ម៉ាំ,"[mam] <br>1). n paste of anchovie-like salted fish Vietnamese See: ផ្អក "
ល្វើយចិត្ត,"[lvǝǝy cət] [[ល្វើយ]] [[ចិត្ត]] <br>1). depressed / low / drooping spirits "
ឌមជន,"[deaʔmeaʔcʊən] <br>1). n worker of the lowest class;<br> barbarian "
វែកចំហៀង,"[vɛɛk cɑmhiəŋ] [[វែក]] [[ចំហៀង]] <br>1). to part the hair "
ធ្វើខុស,"[tvəə kʰoh] [[ធ្វើ]] [[ខុស]] <br>1). to commit a bad deed<br>#..). to make a mistake
បិទទ្វារ,"[bet~bət tvie] [[បិទ]] [[ទ្វារ]] <br>1a). to close a door. <br>1b). to go out of business "
វិក្រាន្ត,"[viʔkraan
អគមនីយដ្ឋាន,"[ʔaʔkeaʔmeaʔnii ------] [[អគមនីយ]] [[ដ្ឋាន]] <br>1). place which should be avoided;<br> person whom one should avoid "
ក្បាលដំណេក,"[kbaal dɑmneɛk] [[ក្បាល]] [[ដំណេក]] <br>1). head of a bed "
កៀមពួយ,"[kiem puəy] <br>1). n salted / pickled plums Chinese "
ទីកំសាន្ត,"[tii kɑmsaan] [[ទី]] [[កំសាន្ត]] <br>1). place for amusement / entertainment "
ឥតបើខ្លាច,"[ʔet~ʔǝt baə klaac] [[ឥតបើ]] [[ខ្លាច]] <br>1). to be fearless
អន្ទាក់ដៃ,"[ʔɑnteak day] [[អន្ទាក់]] [[ដៃ]] <br>1). See: ហត្ថបាស "
បន្លាច,"[bɑnlaac] <br>1). v to frighten
ប្រមោក,"[prɑmaok] <br>1). v to hit / strike / beat down repeatedly;<br> to get rid of dust by beating <br>2). v to state something plainly;<br> to scold without fear "
កាន់ជាប់មកជាមួយ,"[kan coap mɔɔk cie muə yɔɔ] [[កាន់ជាប់]] [[មក]] [[ជាមួយ]] <br>1). to attach (e.g. documents to an application) "
ប្រទាលសារិកា,"[prɑtiel saareʔkaa] [[ប្រទាល]] [[សារិកា]] <br>1). kind of plant used for preparing love charms "
ខ្នោះឃ្នាងចក្រពត្តិនិយម,"[knɑh knieŋ cak --i4-- niʔyum] [[ខ្នោះឃ្នាង]] [[ចក្រពត្តិនិយម]] <br>1). fetters and shackles of imperialism "
ការប្រាសចាក,"[kaa praah caak] [[ការ]] [[ប្រាសចាក]] <br>1). loss
ឈ្លោះបែកសា,"[clʊəh baek saa] [[ឈ្លោះ]] [[បែកសា]] <br>1). to have a violent argument "
ណេងណូង,"<br>1). See: ណិងណូង "
បានឥស្សរិយ,"[baa nɔɔ ʔihsaʔriʔyeaʔ] [[បាន]] [[ឥស្សរិយ]] <br>1). to be promoted;<br> to be decorated "
ញ័រមាត់,"[ɲoa moat] [[ញ័រ]] [[មាត់]] <br>1). to have trembling lips (from cold
ព្រះរាជបរិពារ,"[preah riec bɑɑreʔpie] [[ព្រះ]] [[រាជបរិពារ]] <br>1). royal entourage "
អឃម័យ,"[ʔaʔkʰeaʔmay] <br>1). adj to be sinful;<br> to be miserable "
រាប់បាត្រ,"[roap baat] [[រាប់]] [[បាត្រ]] <br>1). to distribute food (to monks);<br> to put rice into the monk's bowls "
ខ្នងគម,"[knɑɑŋ kɔɔm] [[ខ្នង]] [[គម]] <br>1). hunched / humped back "
រកឲ្យសព្វ,"[rɔɔk ʔaoy sɑp] [[រក]] [[ឲ្យ]] [[សព្វ]] <br>1). to search thoroughly "
ប្រសាទកុប្បនា,"[prɑsaat ------ ] [[ប្រសាទ]] [[កុប្បនា]] <br>1). nervousness
លោតកញ្ឆាត់(លាត់)កញ្ឆែង,"<br>1). to jump up and down with joy;<br> to be overjoyed "
ដើរមិនស្រួល,"[daə mɨn sruǝl] [[ដើរ]] [[មិន]] [[ស្រួល]] <br>1). to run or operate poorly (of a machine);<br> to function poorly (of bodily organs) "
ការសម្ទាយ,"[kaa sɑmtiey] [[ការ]] [[សម្ទាយ]] <br>1). trivial job "
វង្សប្រមុខ,"[vɔǝŋ~vaŋsaʔ prɑmuk] [[វង្ស]] [[ប្រមុខ]] <br>1). See: វង្សនាថ "
អក្សរប្រយោគ,"[ʔaksɑɑ prɑyook] [[អក្សរ]] [[ប្រយោគ]] <br>1). consonant cluster e.g. ក្ង
អាវាសាធិការ,"<br>1). See: អារាមាធិការ "
ប្រមោញ,"[prɑmaoɲ] <br>1). n kind of small brown porcupine Siem Reap "
ច្បាប់បវេណី,"[cbap paʔveenii] [[ច្បាប់]] [[បវេណី]] <br>1). common law "
លែងកើតលែងស្លាប់,"[lɛɛŋ kaət lɛɛŋ slap] [[លែងកើត]] [[លែង]] [[ស្លាប់]] <br>1). to attain Nirvana
ណា៎,"[naa] <br>1). fp final emphatic or hortatory particle in informal
ឱសថកម្ម,"[ʔaosot~ʔaosɑt~ʔaosaʔtʰaʔ kam~kammeaʔ or kammaʔ] [[ឱសថ]] [[កម្ម]] <br>1). compounding of medicines "
យួនព្រួន,"[yuən ------ ] [[យួន]] [[ព្រួន]] <br>1). Vietnamese "
បាយបិត្តបូរ,"[baay bet tboo] [[បាយ]] [[បិត្តបូរ]] <br>1). food which is dedicated to the dead by offering it to the monks "
ប្រណម្យ,"[prɑnɑm] <br>1). v to salute / greet (in the traditional Cambodian way by placing the palms together with the fingers pointing up and raising the hands up from the chest to the forehead) See: ប្រណម "
ស្របគ្នា,"[srɑɑp knie] [[ស្រប]] [[គ្នា]] <br>1). evenly
រូបវន្តបុគ្គល,"[ruup voan bokkʊəl] [[រូប]] [[វន្ត]] [[បុគ្គល]] <br>1). physical / tangible object
ប៊ីយ៉ា,"[biiyaa] <br>1). n pool
ច្បូតច្រមុះ,"[cboot crɑmoh] [[ច្បូត]] [[ច្រមុះ]] <br>1). to tweak the nose "
រាជសម្ពន្ធ,"[riec sɑmpʊən] [[រាជ]] [[សម្ពន្ធ]] <br>1). royal family ties "
ប្រមោទ,"[prɑmaot] <br>1). n gladness
និយមន័យ,"[niʔyum ney] [[និយម]] [[ន័យ]] <br>1). definition;<br> postulate "
ឧមានិមិត្ត,"[ʔuʔmaa niʔmit] [[ឧមា]] [[និមិត្ត]] <br>1). rock representing the vagina of Shiva's wife "
ពាក្យឆ្លើយ,"[piek claəy] [[ពាក្យ]] [[ឆ្លើយ]] <br>1). an answer
ល្ងឹតល្ងង់,"[lŋɨt lŋɔǝŋ] [[ល្ងឹត]] [[ល្ងង់]] <br>1). to be ignorant
តិចនិក,"<br>1). See: តិកនិក "
វៀរលែង,"[viə lɛɛŋ] [[វៀរ]] [[លែង]] <br>1). to leave aside
ក្រមរដ្ឋប្បវេណី,"[krɑm roattʰappaʔveenii] [[ក្រម]] [[រដ្ឋប្បវេណី]] <br>1). civil code
បន្លាយ,"[bɑnlaay] <br>1). v to lengthen
បើសិនជា,"[baə sən cie] [[បើ]] [[សិន]] [[ជា]] <br>1). See: បើប្រសិនជា "
ណាៗ,"[naa - naa] <br>1). postnp various "
ក្រង់,"[krɑŋ] <br>1). n bin (for storing rice);<br> the low
សាកមែកឈើ,"[saak mɛɛk cʰəə] [[សាក]] [[មែក]] [[ឈើ]] <br>1). to layer / graft (in horticulture) "
រំភើប,"[rumpʰəəp] <br>1). adj to be thrilled
គួរឲ្យ,"[kuə ʔaoy ] [[គួរ]] [[ឲ្យ]] <br>1). worthy of
ប្រមោយ,"[prɑmaoy] <br>1). n elephant's trunk <br>2). n antenna <br>3). n fallopian tube
ប្រចាំថ្ងៃ,"[prɑcam tŋay] [[ប្រចាំ]] [[ថ្ងៃ]] <br>1). daily
អឹងកង,"[ʔəŋ - kɑɑŋ] <br>1a). adj to be tumultuous;<br> loud
រំភើយ,"[rumpʰəəy] <br>1a). adj to be gently blowing
ប្រថាប់ត្រា,"[prɑtʰap traa] [[ប្រថាប់]] [[ត្រា]] <br>1). to imprint a (royal) seal;<br> to notarize "
រួសមាត់(រួសក),"<br>1). to have a ready answer;<br> to be articulate
ដុបៗ,"[dop - dop] <br>1). adj (of rice) to be undercooked
វិញ្ញូ,"[viɲɲuu] <br>1a). n connoisseur
បំបាត់ចោល,"[bɑmbat caol] [[បំបាត់]] [[ចោល]] <br>1). See: បំបាត់ (1) "
បរិវច្ឆនដ្ឋាន,"[paʔreʔvaccʰaʔnaʔtʰaan] <br>1). n preparatory grade (second year of elementary school) "
សយ្យា,"[sayyaa] <br>1a). n sleep
ច្យុតិ,"[caʔyot] <br>1). n departure
អ៊ុត(សន្លឹក)បៀ,"<br>1). to uncover one's card(s) slowly (to see if it is a good or bad hand) "
ហា៎,"[haa] <br>1). See: អ្ហា៎ "
នួនព្រះឱស័,"[nuun preah ʔaoh ] [[នួន]] [[ព្រះឱស័]] <br>1). lip wax
ទឹកក្រអូប,"[tɨk krɑʔoop] [[ទឹក]] [[ក្រអូប]] <br>1). eau-de-cologne
ហសាភិប្រាយ,"[haʔsaapʰiʔpraay] <br>1). n entertainment
លោតតន្ត្រំ,"[loot tɑntrɑm] [[លោត]] [[តន្ត្រំ]] <br>1). to jump on
ទីទើរ,"[tii təə] <br>1a). v to vacillate
កាព្យនិទាន,"[kaap niʔtien] [[កាព្យ]] [[និទាន]] <br>1). poem "
ខ្ពប,"[kpɔɔp] <br>1). v to climb a tree by encircling it with the arms and bracing the feet against the trunk <br>2). n ponds left by the receding waters of a river or lake;<br> alluvial deposits
ក្រចាប់ដែក,"[krɑcap daek] [[ក្រចាប់]] [[ដែក]] <br>1). iron trap
តើក,"[taək] <br>1). n heart (of a fish) "
និយាយផ្ទាល់មាត់,"[niʔyiey ptoal moat] [[និយាយ]] [[ផ្ទាល់មាត់]] <br>1). to talk directly (with someone) "
អ្ហាះ,"[ʔhaah] <br>1). i exclamation indicating doubt or suspicion See: អ្ហា៎ះ អ្ហាះ​!​ ថា​ម៉េច?​ Uh ... what was that? "
នាំផ្លូវដដាក់,"[noam pləv dɑdak] [[នាំ]] [[ផ្លូវ]] [[ដដាក់]] <br>1). to put (someone) on the (right) road (in life)
មានវត្តមានក្នុង,"[mien voattaʔmaan knoŋ] [[មាន]] [[វត្តមាន]] [[ក្នុង]] <br>1). to be present at / on "
សុប្រយោគ,"[soppraʔyouk] <br>1). n skill
អ្ហាៈ,"[ʔhaʔ] <br>1). i ah!
សាមន្តគ្រាម,"[saamɔǝn kriem] [[សាមន្ត]] [[គ្រាម]] <br>1). neighboring region "
មជ្ជាគារ,"[macciekie] <br>1). n bar
ភេទនិយភាព,"[--i4-- ] [[ភេទនិយភាព]] <br>1). vulnerability "
លឿនលយ,"[lɨǝn lɔɔy] [[លឿន]] [[លយ]] <br>1). to be floating / moving with nearly imperceptible forward motion (describes something moving through the air or water very quickly but at such a distance from the observer that it appears to be moving slowly) "
មណ្ឌលសហនាភី,"[mʊəndʊəl saʔhaʔniepʰii] [[មណ្ឌល]] [[សហនាភី]] <br>1). concentric inner circle "
ជ័រស្ល,"[coa slaa] [[ជ័រ]] [[ស្ល]] <br>1). mastic resin
ឈើទាលបាយ,"[cʰəə tiel baay] [[ឈើទាល]] [[បាយ]] <br>1). See: ឈើទាល "
