(Mekong) giant catfish 	 ປາບຶກ
sheath blight 	 ພະຍາດກາບໃບແຫ້ງ
sheath rot 	 ພະຍາດກາບໃບເນົ່າ
sheep	(n) 	 ແກະ
shelf	(v) 	 ຖ້ານໃສ່ເຄື່ອງ
shifting cultivation	(n) 	 ການເຮັດໄຮ່ເລື່ອນລອຍ
shoot, rhizome, stolon	(n) 	 ໜໍ່, ແໜງ
short	(adj) 	 ສັ້ນ
short-horned grasshopper 	 ຕັກແຕນໜວດສັ້ນ
shoulder 	 ໄຫຼ່
shovel 	 ຊວ້ານ
shovel	(n) 	 ຊວ້ານ
show	(v) 	 ສະແດງ
shrimp	(n) 	 ກຸ້ງນ້ອຍ
shrimp paste	(n) 	 ກະປິ
shrimp paste sauce	(n) 	 ນໍ້າພິກ
shrivel	(v) 	 ແຫ່ວແຫ້ງ, ເຮັດໃຫ້ແຫ້ງ
shrub	(n) 	 ຟຸ່ມໄມ້
sick	(to be) 	 ຮາກ, ອາຈຽນ
sickle 	 ກ່ຽວ
side	(n) 	 ຂ້າງ
significant	(adj) 	 ສໍາຄັນ
silage 	 ຫຍ້າໝັກສໍາລັບສັດກີນໃນລະດູແລ້ງ
silage	(n) 	 ຫຍ້າໝັກ, ຫຍ້າສົດໝັກໄວ້ເປັນອາຫານສັດ
silk cloth	(n) 	 ຜ້າໄໝ
silk raising	(n) 	 ການລ້ຽງມ້ອນ
silk reeling machine	(n) 	 ເຄື່ອງສາວໄໝ
silk thread	(n) 	 ສາຍໄໝ
silk work tray	(n) 	 ກະດົ້ງລ້ຽງມ້ອນ
silk worm	(n) 	 ໂຕມ້ອນ
silo 	 ບ່ອນມ້ຽນຫຍ້າ ຫຼື ເຟືອງເພື່ອເປັນຫຍ້າໝັກ
silo	(n) 	 ບ່ອນມ້ຽນຫຍ້າ ຫຼື ເຟືອງ ເພື່ອເປັນຫຍ້າໝັກ
silscon deficiency 	 ການຂາດທາດຊີລີຄອນ
silt 	 ດິນຕົມ, ດິນຕະກອນ
silt	(n) 	 ດິນຕົມ
silt	(n) or sediment 	 ຕະກອນ
silver	(n, adj) 	 ເງິນ, ທາດເງິນ
silver carp 	 ປາຫຼີອື້
silvopastrial system	(n) 	 ລະບົບການລ້ຽງສັດ ແລະ ປ່າໄມ້
similar	(adj) 	 ຄ້າຍກັນກັບ
simultaneous	(adj) 	 ພ້ອມກັນ
sing	(v) 	 ຮ້ອງເພງ
sire	(n) 	 ສັດພໍ່ພັນ (ສັດສີ່ຕີນ)
situate	(v) 	 ຕັ້ງຢູ່
situation	(n) 	 ສະຖານະການ
situation-specific analysis	(n) 	 ການວິເຄາະສະຖານະການພິເສດ
size	(adj) 	 ຂະໜາດ
skill	(n) 	 ທັກສະ, ຄວາມຊໍານານ
skin	(n) 	 ໜັງ (ສັດ)
skull	(n) 	 ກະໂຫຼກຫົວ
slash and burn 	 ການຖາງປ່າເຮັດໄຮ່
slated rotten fish	(fermented fish) 	 ປາແດກ
slaughter	(n) 	 ການຂ້າ, ຂ້າສັດ
slaughter house	(n) 	 ໂຮງຂ້າສັດ
slice	(v) 	 ຝານ, ປາດ
slope 	 ດິນຄ້ອຍຊັນ
slope	(n) 	 ເນີນ, ທາງລາດ, ເຄື່ອນໄປ
sludge	(soft mud or mire) (n) 	 ກ້ອນຕົມໜຽວ, ຂີ້ຕະກອນດິນ
slug	(n) 	 ທາກ, ຫອຍຊະນິດໜື່ງ
slurry	(liquid waste from farm animals) 	 ນໍ້າເປື້ອນຄອກສັດທີ່ໃຊ້ເປັນຝຸ່ນ
small brown planthopper 	 ເພ້ຍຈັກຈັ່ນສີນໍ້າຕານຂະໜາດນ້ອຍ
smoke	(n) 	 ຄວັນ
smoker 	 ເຄື່ອງພົ່ນຄວັນ
snail	(n) 	 ຫອຍໂຂ່ງ
snake head fish 	 ປາຄໍ່
snake-fruit 	 ໝາກກະລໍ່າ
snout 	 ດັງ
snout	(n) 	 ດັງສັດ
soft wood	(n) 	 ໄມ້ເນື້ອອ່ອນ
soil 	 ດິນ
soil	(n) 	 ດິນ
soil auger 	 ເຄື່ອງເຈາະດິນ
soil auger	(n) 	 ເຄື່ອງເຈາະດິນ
soil concervation 	 ການອານຸລັກດິນ
soil erosion	(as from gradual rain) 	 ການເຊາະລ້າງຂອງດິນ
soil erosion	(as from rainwater) 	 ການພັງຂອງດິນ
soil erosion	(as in gully erosion or 	 ການກັດເຊາະຂອງດິນ
soil fauna 	 ຈຸລະພຶກ
soil fertility 	 ຄວາມອຸດົມສົມບູນຂອງດິນ
soil from the bottom of a hole 	 ດິນກົ້ນຂຸມ
soil low in nutrients	(laymen’s term) 	 ດິນຈືດ
soil map	(n) 	 ແຜນທີ່ດິນ
soil organic matter 	 ທາດບໍາລຸງດິນ
soil preparation	(n) 	 ການຕຽມດິນ
soil samples 	 ຕົວຢ່າງດິນ
soil structure 	 ໂຄງສ້າງຂອງດິນ
soil structure	(n) 	 ໂຄງສ້າງຂອງດິນ
soil survey	(n) 	 ການສໍາຫຼວດດິນ
soil texture	(n) 	 ເນື້ອຂອງດິນ
soil water	(n) 	 ນໍ້າໃນດິນ
solar energy	(n) 	 ພະລັງງານໄຟຟ້າຈາກດວງອາທິດ
sorghum 	 ເຂົ້າຝ້າງ
sorghum 	 ເຂົ້າຝ້າງ
sorghum	(n) 	 ເຂົ້າຝ້າງ
sorry	(adj) 	 ເສຍໃຈ
sort	(n, v) 	 ຊະນິດ, ຄັດເລືອກ
south	(n) 	 ທິດໃຕ້
sow	(n) 	 ໝູແມ່, ໝູສາວ
sow	(v) 	 ຫວ່ານ
soy bean 	 ຖົ່ວເຫຼືອງ
spade 	 ສຽມ
spanner 	 ກະແຈໄຂກຽວ
spawn 	 ອອກໄຂ່
special grade officer 	 ຂ້າລັດຖະການຊັ້ນພິເສດ
specialist	(n) 	 ຜູ້ຊ່ຽວຊານ
spell	(v) 	 ສະກົດ
spice	(n) 	 ເຄື່ອງເທດ
spider 	 ແມງມຸມ
spider mite 	 ໄຮແມງມຸມ
spillway 	 ຝາຍນໍ້າລົ້ນ
spinach 	 ຜັກຫົມ, ຜັກຫົມຈີນ
splash erosion	(n) 	 ການເຊາະເຈື່ອນແບບພົ້ງກະຈາຍຂອງດິນ
split	(n) 	 ຜ່າ, ແບ່ງ
sponge gourd, loofah 	 ໝາກບວບ, ໝາກນອຍ
spore	(n) 	 ໜ່ວຍກໍາເນີດຂອງພືດ
sports	(n) 	 ກິລາ
spot	(n) 	 ຈຸດ
spray	(formal) (n) 	 ພົ່ນ, ສີດ
spray gun 	 ບັ້ງສີດ, ບັ້ງພົ່ນ
sprayer 	 ເຄື່ອງພົ່ນຢາ
sprayer	(n) 	 ເຄື່ອງພົ່ນ
spraying	(n) 	 ການສີດຢາໃຫ້ພືດ
spread	(v) the stone 	 ຖົມຫີນ, ຫວ່ານຫີນ
sprinkler 	 ເຄື່ອງໂຮຍ
sprout	(n, v) 	 ໜໍ່ທີ່ປົ່ງໃໝ່, ງອກ
stabilize	(v) 	 ເຮັດໃຫ້ຄົງຕົວ
stable	(adj) 	 ຄົງຕົວ
stagnate	(v) 	 ຢຸດນີ້ງ
stakeholder approach	(n) 	 ວິທີເຮັດໃຫ້ມີຜົນປະໂຫຍດຮ່ວມກັນ
stalk	(n) 	 ກ້ານ (ໃບໄມ້)
stamen	(n) 	 ເກສອນຜູ້
stamen	(n) 	 ເກສອນຜູ້
standing timber 	 ໄມ້ຢືນຕົ້ນ
staple	(n) 	 ສໍາຄັນ, ເປັນຫຼັກ
star	(n) 	 ດາວ
star fruit, caramba 	 ໝາກເຟືອງ
starch	(n) 	 ອາຫານປະເພດແປ້ງ
starvation	(n) 	 ຄວາມອຶດຫີວ
starve	(v) 	 ອົດ, ອົດຢາກ, ອຶດຢາກ
stay permanently 	 ຢູ່ຖາວອນ
steal	(v) 	 ຂີ້ລັກ, ຂະໂມຍ
steam	(n) 	 ອາຍນໍ້າ
steel	(n) 	 ເຫຼັກກ້າ
steep	(adj) 	 ຊັນ (ສູງຊັນ)
steep	(adj) 	 ຊັນ, ສູງຊັນ
steep	(v), saturate) 	 ແຊ່ໃຫ້ຊຸ່ມ
stem	(n) 	 ຕົ້ນ, ລໍາຕົ້ນ
stem nematode 	 ຂີ້ກະເດືອນຝອຍກໍຕົ້ນ
stem rot 	 ພະຍາດລໍາຕົ້ນເນົ່າ
stem, trunk	(n) 	 ລໍາຕົ້ນ, ຕົ້ນ
stemp borers 	 ດ້ວງກໍ
step	(n) 	 ຂັ້ນຕອນ, ດັບ
sterile	(adj) 	 ເປັນໝັນ
sterility	(n) 	 ເປັນໝັນ
sterilize	(v) 	 ເຮັດໃຫ້ເປັນໝັນ
stillborn	(n) 	 ຕາຍກ່ອນເກີດ
sting	(v, n) 	 ຕອດ, ໄລ (ເຜີ້ງ, ຕໍ່)
sting	(v, n) 	 ຕອດ, ໄລເຜີ້ງ
stink	(v, n) 	 ເໝັນ, ຄວາມເໝັນເນົ່າ
stink bug, shield bug 	 ຈຸຈີ່ເໝັນ
stock 	 ຕົ້ນຕໍໄມ້
stock	(v) 	 ເກັບໄວ້, ແຮໄວ້
stock a fish pond	(v) 	 ປ່ອຍລູກປາ
stomach	(n) 	 ກະເພາະ
stone	(n) 	 ກ້ອນຫີນ
storage	(n) 	 ບ່ອນເກັບມ້ຽນ, ສາງ
storage cell 	 ຊ່ອງເກັບນໍ້າເຜີ້ງທີ່ມີເກສອນດອກໄມ້ພາຍໃນ
store	(v) 	 ເກັບ, ເກັບຮັກສາ
store	(v) 	 ເກັບໄວ້, ເກັບມ້ຽນໄວ້, ສະສົມ
storm	(n) 	 ລົມພາຍຸ
stove	(n) 	 ເຕົາໄຟ
strain	(n) 	 ການປະສົມຂ້າມສາຍເລືອດ
strainer 	 ເຄື່ອງຕອງ, ເຄື່ອງກັ່ນ
strange	(adj) 	 ແປກປະຫຼາດ
straw	(rice) (n) 	 ເຟືອງ
straw	(used for drinking) 	 ຫຼອດ (ດູດ)
stray	(v, n) 	 ຫຼົງທາງ, ສັດຫຼົງທາງ
stream	(n) 	 ສາຍນໍ້າ, ລໍາທານ
strees 	 ຄວາມແຕກຕື່ນ
stress	(n) 	 ພາວະຮ້ອນ, ຄວາມກົດດັນ
stress-tolerant cultivars 	 ແນວພັນທົນຕໍ່ສະພາບແວດລ້ອມ
string	(n) 	 ເຊືອກ
strip 	 ພະຍາດໃບຂີດ
strip cropping	(n) 	 ການປູກພືດເປັນແຖບ
strip cropping	(n) 	 ການປູກພືດເປັນແລວ
stubble	(n) 	 ຕໍ, ຕໍເຟືອງເຂົ້າ
study	(v, n) 	 ສຶກສາ, ຄົ້ນຄວ້າ
study trip	(n) 	 ທັດສະນະສຶກສາ
stump	(n) 	 ຕໍໄມ້
stunted	(adj) 	 ເຕີບໂຕບໍ່ປົກກະຕິ (ພືດ, ຄົນ)
stylo	(stylosanthes guianensis) 	 ຖົ່ວສະໄຕໂລ
submerge	(v) 	 ຈົມ, ຈົມຢູ່ພື້ນນໍ້າ
subsidy	(n) 	 ເງິນອຸດໜູນ
subsist	(v) 	 ລ້ຽງຊີບແບບພໍພຽງ
subsistence	(n) 	 ການດໍາລົງຊີວິດແບບພໍພຽງ
subsistence agriculture	(n) 	 ການກະສິກໍາເພື່ອການລ້ຽງຊີບ
subsoil	(n) 	 ດິນຊັ້ນລຸ່ມ
substitute	(v) 	 ປ່ຽນແທນ
success	(n) 	 ຄວາມສໍາເລັດ
sucker, rhizome	(n) 	 ເຫງົ້າ
suffocate	(v) 	 ເຮັດໃຫ້ຫາຍໃຈຝືດ
sugar	(n) 	 ນໍ້າຕານ
sugar apple, sweet-sop 	 ໝາກຂຽບ
sugar beet 	 ຫົວຜັກກາດຫວານ
sugar cane 	 ອ້ອຍ
sugar cane	(n) 	 ອ້ອຍ
sugar palm 	 ຕົ້ນຕານ
sugar pea 	 ຖົ່ວລັນເຕົາ
suitable	(adj) 	 ເໝາະສົມ, ແທດເໝາະ
sulfur deficiency 	 ການຂາດທາດຊູນເຟີ
sump	(n) 	 ບໍ່ສໍາລັບເກັບນໍ້າມັນ, ອ່າງນໍ້າມັນເຄື່ອງ
sun	(n) 	 ພະອາທິດ, ຕາເວັນ
sunhemp 	 ປໍເທືອງ
superintendent	(n) 	 ຜູ້ດູແລ, ຜູ້ອໍານວຍການ
supplementary feed 	 ອາຫານເສີມ
supplementary food	(n) 	 ຫົວອາຫານ, ອາຫານເສີມ
support	(v) 	 ສະໜັບສະໜູນ, ຊ່ວຍເຫຼືອ
survey	(v) 	 ສໍາຫຼວດ
survey	(v) 	 ສໍາຫຼວດ
surveying tools	(n) 	 ເຄື່ອງມືສໍາຫຼວດ
surveyor	(n) 	 ນັກສໍາຫຼວດ, ຊ່າງສໍາຫຼວດ
survive	(v) 	 ມີຊີວິດລອດ, ເອົາຕົວລອດ
susceptibility	(n) 	 ຄວາມອ່ອນແອ
sustainable agricultural Production 	 ການຜະລິດກະສິກໍາແບບຍືນຍົງ
sustainable development	(n) 	 ການພັດທະນາແບບຍືນຍົງ
swallow	(n) 	 ນົກແອ່ນ
swallow	(v) 	 ກືນ
swallow’s net	(n) 	 ຮັງນົກແອ່ນ
swamp	(n) 	 ບຶງ
swamp spinach 	 ຜັກບົ້ງ
swarm	(v, n) 	 ຝູງເຜີ້ງແຍກຮັງ, ຝູງເຜີ້ງ
swarming net 	 ບ້ວງຖົງຈັບເຜີ້ງ
sweat	(v, n) 	 ເຫື່ອອອກ, ເຫື່ອ
sweet basil 	 ບົວລະພາ
sweet pepper 	 ໝາກເຜັດໃຫຍ່, ໝາກເຜັດຫວານ
sweet potato 	 ມັນດ້າງ, ມັນເທດ
sweet potato 	 ມັນເທດ, ມັນດ້າງ
sweet tamarind 	 ໝາກຂາມຫວານ
swim	(v) 	 ລອຍນໍ້າ
swine	(n) 	 ໝູ (ທົ່ວໄປ)
swine-fever	(cholera) 	 ໂລກອະຫິວາໝູ
switch 	 ຫາງ
sympathy	(n) 	 ຄວາມເຫັນໃຈ
symptom 	 ອາການ
symptom	(n) 	 ອາການ, ເຄື່ອງສະແດງ, ເຄື່ອງບອກລາງ
syndrome	(n) 	 ອາການ
syringe	(n, v) 	 ກ້ອງສັກຢາ, ສັກຢາ
system	(n) 	 ລະບົບ
systemic pesticide 	 ຢາດູດຊຶມ
tamarind 	 ໝາກຂາມ
tangerine 	 ໝາກກ້ຽງນ້ອຍເປືອກບາງ
tank	(n) 	 ຖັງ
tap	(n) 	 ກ໊ອກນໍ້າ
tap root	(n) 	 ຮາກແກ້ວ
tape measure	(n) 	 ແມັດກໍ້
tapioca cassava	(n) 	 ມັນຕົ້ນ, ມັນກໍ
taro 	 ເຜືອກ
taro	(n) 	 ເຜືອກ
taste	(v, n) 	 ທົດລອງ, ການທົດລອງ
tea	(n) 	 ນໍ້າຊາ
teak	(n) 	 ໄມ້ສັກ
technician	(n) 	 ວິຊາການ, ຜູ້ຊໍານານ
teeth	(n) 	 ແຂ້ວ
telephone	(n) 	 ໂທລະສັບ
temperate zone	(n) 	 ເຂດອົບອຸ່ນ
temperature	(n) 	 ອຸນຫະພູມ
terminal bud	(n) 	 ຍອດ
terminal bud	(n) 	 ຍອດ
termite 	 ປວກ
termite	(n) 	 ປວກ
terrace, terracing	(n) 	 ຂັ້ນໄດ, ນາຂັ້ນໄດ
terraces	(n) 	 ດິນເປັນພັກ, ດິນຂັ້ນໄດ
test-bed	(n) 	 ໜານທົດລອງ, ແປງທົດລອງ
thatch	(v, n) 	 ມຸງຫຼັງຄາ, ການມຸງຫຼັງຄາ
thief	(n) 	 ຂີ້ລັກ, ຂະໂມຍ
thigh 	 ກົກຂາ
thin	(v) 	 ຖອນ, ແຍກ, ຕັດສາງ
thinning	(n) 	 ການຕັດສາງ
thorn	(n) 	 ໜາມ
thousand year egg 	 ໄຂ່ຍ່ຽວມ້າ
thrash, thresh	(v) 	 ນວດເຂົ້າ, ຟາດເຂົ້າ
three breed crossbreed 	 ພັນສາມສາຍເລືອດ
thresh rice	(v.) 	 ນວດເຂົ້າ, ຟາດເຂົ້າ
threshing	(n) 	 ການນວດເຂົ້າ, ການຟາດເຂົ້າ, ການປັ່ນເຂົ້າ
thrips 	 ເພ້ຍໄຟ
throw	(v) 	 ຖີ້ມ
tick 	 ເຫັບ, ໂຕເຫັບ
tick	(n) 	 ເຫັບ, ໝັດ
tilapia mazambicus 	 ປາໝໍເທດ
tilapia nilotica 	 ປານິນ
till	(n) 	 ພວນດິນ
tillage	(n) 	 ການພວນດິນ
tiller 	 ຜູ້ໄຖ, ຜູ້ຂຸດດິນປູກຝັງ
tiller	(n) 	 ຄັນຖືທ້າຍເຮືອ
to get lost 	 ລືມ, ຫຼົງ, ຫຼົງທາງ
to give birth 	 ເກີດລູກ, ອອກລູກ
toad	(n) 	 ຄັນຄາກ
tobacco 	 ຢາສູບ
tobacco	(n) 	 ຢາສູບ, ຢາເສັ້ນ
toes	(n) 	 ນີ້ວຕີນ
together	(adj) 	 ດ້ວຍກັນ, ນໍາກັນ
tolerant of 	 ທົນທານຕໍ່
tolerate	(v) 	 ອົດທົນ
tomato 	 ໝາກເລັ່ນ
tongue 	 ລີ້ນ
tongue	(n) 	 ລີ້ນ
tool 	 ເຄື່ອງມື
tool	(n) 	 ເຄື່ອງມື
tooth	(n) 	 ແຂ້ວ (ສັດ)
top soil 	 ໜ້າດິນ
top soil	(n) 	 ຜິວດິນ, ໜ້າດິນ
topography	(n) 	 ພູມລັກສະນະ
torch	(n) 	 ໄຟສາຍ
torrent	(n) 	 ກະແສນໍ້າໄຫຼ
township	(n) 	 ຕາແສງ
toxic	(adj) 	 ເປັນພິດ
trace	(n) 	 ຮອຍ, ຈໍານວນໜ້ອຍ
tractor 	 ລົດໄຖ, ລົດເທຼັກເຕີ
traditional	(adj) 	 ພື້ນເມືອງ, ດັ້ງເດີມ
trailer 	 ລົດພວງຫ້ອຍຕາມ, ມອ໋ກລົດ
trailer	(n) 	 ລົດພວງ
training	(n) 	 ການຝຶກອົບຮົມ
transect walk	(n) 	 ການຍ່າງສໍາຫຼວດ
transitory yellowing 	 ພະຍາດໃບເຫຼືອງນໍ້າໝາກກ້ຽງ
transpiration 	 ໝາກຄາຍນໍ້າ
transplant	(v) 	 ດໍານາ
transplant rice seedling 	 ດໍານາ
transplanting	(n) 	 ການປັກດໍາ, ການດໍານາ
transport	(v, n) 	 ຂົນສົ່ງ, ການຂົນສົ່ງ
treasurer 	 ຄຸ້ມຄອງການເງີນ
treatment	(n) 	 ຊະນິດທົດລອງ
treble	(v) 	 ສາມເທົ່າ
tree 	 ຕົ້ນໄມ້
tree	(n) 	 ຕົ້ນໄມ້
tree stump 	 ຕໍໄມ້
trench	(n) 	 ຂຸມໃຫຍ່
trespass	(n) 	 ລ່ວງລໍ້າເຂດແດນ
tributary	(n) 	 ຫ້ວຍນໍ້າ
trimming	(n) 	 ການແຕ່ງຟຸ່ມ
tropical	(adj) 	 ອາກາດຮ້ອນ
tropics	(n) 	 ເຂດຮ້ອນ
trough	(n) 	 ຮາງ, ຮາງໃສ່ອາຫານສັດ
trowel 	 ຂອງຕັກປູນທາກໍາແພງ 
truck	(n) 	 ລົດບັນທຸກ
truck farming 	 ສວນຜັກ
trunk	(n) 	 ລໍາຕົ້ນ
tube	(n) 	 ຫຼອດ, ທໍ່
tuber, corm, bulb	(n) 	 ຫົວ (ພືດ)
tungro 	 ພະຍາດໃບສີນໍ້າໝາກກ້ຽງ
turkey 	 ໄກ່ງວງ
turmeric 	 ຂີ້ໝີ້ນ
turn	(v) 	 ໝູນກັບ, ຫັນກັບ
turn around 	 ໝູນຮອບ, ປິ່ນອ້ອມ
turn over	(v) 	 ຂວ້າມ
turn under	(v) 	 ປີ້ນດິນ, ພວນດິນ
turnip 	 ຫົວຜັກກາດ
twig	(n) 	 ກິ່ງ, ກິ່ງໄມ້
twist	(v) 	 ບິດ
type	(n) 	 ປະເພດ
type of banana 	 ຊະນິດຂອງກ້ວຍ
typhoon	(n) 	 ພະຍຸໄຕ້ຝຸ່ນ
udder 	 ນົມ	(ງົວ)
ultra heat treated mild 	 ນົມທີຜ
umbilical cord	(n) 	 ສາຍບື
umbrella	(n) 	 ຄັນຮົ່ມ
unable	(n) 	 ບໍ່ສາມາດ
unavailable water	(n) 	 ນໍ້າໃນພື້ນດິນ ທີ່ພືດ ຫຼື ຕົ້ນໄມ້ບໍ່ສາມາດດູດເຖີງ
uncontrolled cutting 	 ການບຸກເບີກເກີນຂອບເຂດ
underdeveloped countries	(n) 	 ປະເທດດ້ອຍພັດທະນາ
understorey	(n) 	 ພືດຊັ້ນລຸ່ມ
underwood	(underbrush) 	 ຕົ້ນໄມ້ນ້ອຍປົກຄຸມດິນ
ungulate	(hoofed animal) (n) 	 ສັດຈໍາພວກມີກີບຕີນ
unhusked rice 	 ເຂົ້າສານ
unhusked rice	(n) 	 ເຂົ້າເປືອກ
uniform	(adj) 	 ສະເໝີພາບ, ເທົ່າກັນ
unit	(n) 	 ໜ່ວຍ
unregulated ley farming	(n) 	 ລະບົບທົ່ງຫຍ້າລ້ຽງສັດແບບບໍ່ມີການຄວບຄຸມ
unstocked forest	(n) 	 ເຂດຂາດປ່າຊົ່ວຄາວ
until 	 ຈົນກະທັ້ງ, ຈົນເຖີງ
unweaned	(n) 	 ໄລຍະໃຫ້ນົມສັດ
upgrade	(n) 	 ປັບປຸງ, ຍົກລະດັບ
upland 	 ດິນສູງ, ທີ່ສູງ 
upland crop farmer	(n) 	 ຊາວໄຮ່
upland rice 	 ເຂົ້າໄຮ່
upper soil horizon 	 ດິນຊັ້ນເທິງ
uproot	(v) 	 ຖອນຮາກ, ຖອນເຫົ້ງາ, ລົບລ້າງ
urban	(adj) 	 ຕົວເມືອງ
urban society	(n) 	 ສັງຄົມຕົວເມືອງ
urine	(n) 	 ນໍ້າປັດສະວະ, ຍ່ຽວ
use	(v, n) 	 ນໍາໃຊ້, ການນໍາໃຊ້
usually	(adj) 	 ຕາມທໍາມະດາ
uterus	(n) 	 ມົດລູກ
vaccination	(n) 	 ການປູກວັກຊີນ
vaccine	(n) 	 ຢາວັກຊີນ ປ້ອງກັນພະຍາດ
vacuum pump	(n) 	 ເຄື່ອງດູູດສູນຍາກາດ
valley	(n) 	 ຫວ່າງພູເຂົາ, ລໍາທານ
value	(adj) 	 ຄຸນຄ່າ
valve	(n) 	 ລີ້ນ (ລີ້ນໃນຫົວໃຈ, ຄວບຄຸມການໄຫຼຜ່ານ
vanilla 	 ນໍ້າເຊື້ອກິ່ນດອກເຜີ້ງ, ພືດປະເພດກ້ວຍໄມ້
vapour or vapor	(n) 	 ອາຍນໍ້າ
variety	(n) 	 ແນວພັນ
vegetable gardening 	 ການເຮັດສວນຜັກ
vegetables	(n) 	 ຜັກ
veil 	 ໝວກຕາໜ່າງໃສ່ກັນເຜິ້ງ
veins	(n) 	 ເສັ້ນເລືອດ
vent 	 ກົ້ນ
ventilation	(n) 	 ການລະບາຍອາກາດ
verge	(n) 	 ປາກ, ຂອບ, ຂອບສຸດ
vermicide	(n) 	 ຢາຂ້າແມ່ທ້ອງ
veterinarian	(n) 	 ສັດຕະວະແພດ
vice 	 ຄີມປາກກາສໍາລັບຈັບຂອງ, ເສືອຂົບ
vice Governor	(n) 	 ຮອງເຈົ້າແຂວງ
vice-president 	 ຮອງປະທານ
vigorous	(adj) 	 ແຂງແຮງ, ເຂັ້ມແຂງ
vigour	(n) 	 ຄວາມແຂງແຮງ
village, villager 	 ບ້ານ, ຊາວບ້ານ
vine	(n) 	 ເຄືອ (ພືດປະເພດເປັນເຄືອ)
vinegar	(n) 	 ນໍ້າສົ້ມ
violet	(n) 	 ສີມ້ວງ, ສີໄວໂອເລດ, ສີອິດ
viral	(adj) 	 ເຊື້ອໄວຣັດ
virus	(n) 	 ເຊື້ອໄວຣັດ
virus	(n) 	 ເຊື້ອໄວຣັດ
visible	(adj) 	 ສາມາດເຫັນໄດ້
vitamin	(n) 	 ວິຕາມິນ (ຢາບໍາລຸງຮ່າງກາຍ)
vomit	(n) 	 ຮາກ (ອາຈຽນ)
voucher 	 ເອກະສານໃບຫຼັກຖານ
vulture	(n) 	 ແຮ້ງ, ໂຕແຮ້ງ
waist	(n) 	 ແອວ
wall	(n) 	 ກໍາແພງ, ຝາຜະໜັງ
warm	(adj) 	 ອຸ່ນ
warn	(v) 	 ເຕືອນ
warp silk	(n) 	 ໄໝເສັ້ນຢືນ
warping	(n) 	 ຂີ້ຫີນ ຫຼື ຂີ້ດິນທີ່ທັບຖົມກັນຫຼັງຈາກນໍ້າຖ້ວມ
washer 	 ແຫວນ	(ໃຊ້ກັບນອດ)
wasp 	 ຕໍ່, ໂຕຕໍ່
waste	(waste-deposal) 	 ຂີ້ເຫຍື້ອ (ເກັບຂີ້ເຫຍື້ອ)
water	(n) 	 ນໍ້າ
water buffalo	(n) 	 ຄວາຍ
water chestnut 	 ໝາກຈັບ
water conservation 	 ການອານຸລັກນໍ້າ
water harvesting	(n) 	 ການເກັບຮັກສານໍ້າ
water hyacinth 	 ຜັກຕົບ
water melon 	 ໝາກໂມ
water mimosa 	 ຜັກກະເສດ
water supply system	(n) 	 ນໍ້າປະປາ
water-level	(n) 	 ລະດັບນໍ້າ
water-soluble	(n) 	 ລະລາຍໃນນໍ້າ
water-table	(n) 	 ລະດັບນໍ້າໃຕ້ດິນ
water-wheel	(n) 	 ລະຫັດ, ກົງຫັນນໍ້າ (ໃຊ້ສໍາລັບຫົດນໍ້າເຂົ້າໃສ່ນາ)
waterfall	(n) 	 ນໍ້າຕົກ
watering can 	 ບົວຫົດນໍ້າ
watering-can	(n) 	 ບົວຫົດນໍ້າ
waterlogged	(n) 	 ດິນທີ່ມີນໍ້າບັນຈຸຫຼາຍ
watershed 	 ບໍລິເວນອ່າງໂຕ່ງ, ແຫຼ່ງນໍ້າ
watershed	(n) 	 ແຫຼ່ງນໍ້າ
watershed management 	 ການປົກປັກຮັກສາບໍລິເວນແຫຼ່ງນໍ້າ
weak	(adj) 	 ອ່ອນແອ, ເພຍ
wean	(n, v) 	 ໄລຍະເຊົານົມ, ຢ່ານົມ, ແອບໃຫ້ເຊົານົມແມ່
wean	(v.) 	 ຢ່ານົມ, ອອກນົມ
weaner	(n) 	 ສັດລ້ຽງລູກດ້ວຍນົມ
weapon	(n) 	 ອາວຸດ
weather, climate	(n) 	 ອາກາດ
weave	(v) 	 ຕໍ່າຫູກ
weed	(v, n) 	 ຫຍ້າ, ເສຍຫຍ້າ
weeding, to weed 	 ການເສຍຫຍ້າ, ເສຍຫຍ້າ
weevil 	 ດ້ວງງວງ, ແມງງວງຊ້າງ
weft	(n) 	 ດ້າຍປັ່ນກະສວຍ
weigh	(v) 	 ຊັ່ງນໍ້າໜັກ
weighing-machine	(n) 	 ເຄື່ອງຊັ່ງນໍ້າໜັກ
weight	(n) 	 ນໍ້າໜັກ
weir	(n) 	 ຝາຍ, ປະຕູນໍ້າ
well	(concrete), lined well 	 ບໍ່ຊີເມັນ, ນໍ້າສ້າງເຮັດດ້ວຍຊີເມັນ
well	(n) 	 ນໍ້າສ້າງ, ບໍ່ນໍ້າ, ສະນໍ້າ
well, pond 	 ນໍ້າສ້າງ, ໜອງສະ 
well-adapted	(adj) 	 ປັບຕົວໄດ້ດີ
west	(n) 	 ທິດຕາເວັນຕົກ
wet rice	(n) 	 ເຂົ້ານາ
wheat 	 ເຂົ້າສາລີ
wheat	(n) 	 ເຂົ້າສາລີ
wheel	(n) 	 ກົງລໍ້, ກົງກວຽນ
wheelbarrow 	 ລົດເຂັນສໍາລັບຂົນດິນ
whet	(v) 	 ເຮັດໃຫ້ຄົມ (ມີດ, ເຄື່ອງມື)
